Startup,URL,Business Description,Funding Stage, Total funding (US$),Opportunity Space,Opportunity Space 2,Founded,Country,Industry,Maturity,Competitor,Competitor Category,Acquisition Cost (US$),Activity/Acquisition Time
Canabidol,https://canabidol.com/,"The leading range of UK made, transparently tested, high quality CBD food supplements for retailers around the world.",Unfunded,,Relieving Stress,,2013,England,,,,,,
Green Garden Gold,https://greengardengold.com/,"using domestic, certified organic, best in class hemp farms from Colorado. using the CO2 extraction methods to keep the CBD pure and clean.",Unfunded,,Relieving Stress,,2014,USA,,,,,,
Koi CBD,https://koicbd.com/,"Providing safe, hemp-derived CBD with 0% THC",Unfunded,,Relieving Stress,,2015,USA,,,,,,
Kat's Naturals,https://katsnaturals.com/,"Kat’s Naturals provides CBD oil blends specifically tailored to users’ needs, whether they want to boost metabolism, get a good night’s rest or simply feel freer from muscle pain.",Unfunded,,Relieving Stress,,2017,USA,,,,,,
Johnny Apple CBD,https://johnnyapple.com/,"Johnny Apple CBD assures customers that it only uses organic, non-GMO hemp [lants for its CBD extract.",Undisclosed,,Relieving Stress,,,USA,,,,,,
Hemptations CBD,https://hemptations-cbd.com/,"Sourcing the very highest quality hemp extracts from the UK, Europe and North America and provide their customers with premium quality, affordable CBD.",Undisclosed,,Relieving Stress,,2018,England,,,,,,
Dixie Botanicals,https://www.dixiebotanicals.com/,"Providing high quality CBD products. To that end, the company tests each CBD oil batch on no fewer than three occasions during the production process",Unfunded,,Relieving Stress,,2012,USA,,,,,,
Palmetto Harmony,https://palmettoharmony.com/,Providing CBD oils used to calm the mind and soothe inflammation.,Undisclosed,,Relieving Stress,,2015,USA,,,,,,
Inhere,inherestudio.com,"London's first drop-in meditation studio, launched May 2017. We bring beautiful spaces and practical tools to make the benefits of meditation accessible to all.",Undisclosed,,Relieving Stress,,2017,England,,,,,,
Limonada Mathe,https://limonadamathe.com/,"The natural energy drink. Natural ingredients. Very low in sugar. Best super chilled. Shake up the natural energy of the Amazon, and enjoy nature's uplift!",Undisclosed,,Energizing,,2014,England,,,,,,
Think of Purple Stuff,http://mypurplestuff.com/,Purple Stuff is made by a company that believes you should not go through life stressed out. Purple Stuff is the best tasting vitamin beverage ever made.,Undisclosed,,Relieving Stress,,2007,USA,,,,,,
Kosmode,https://kosmodehealth.com/,Enabling health from nature in functional food and cell culture development,Undisclosed,,Relieving Stress,,2016,Singapore,,,,,,
Thriva,https://thriva.co/,"Your cortisol levels naturally fluctuate throughout the day — they should be highest in the morning and gradually drop so they reach their lowest point at night. With a saliva test, you can collect multiple samples over the course of one day to see if you follow the normal daily pattern.

This test can help you learn if things like sleep problems, low energy levels, low mood, getting sick often, and weight gain might be because your cortisol levels are too high.",Series A,9330000,Relieving Stress,,2015,England,,,,,,
Soldier.ly,Soldier.ly,"Soldier.ly has developed a smartwatch app to monitor and manage anxiety, stress & Post-traumatic stress disorder (PTSD). The app named Overwatch tracks biometric data via smartwatch sensors & alerts the wearer when stress or anxiety increases. It also provides a breathing exercise or mindfulness meditation to help release stress & anxiety.",Unfunded,,Relieving Stress,,2017,Australia,,,,,,
Graze,https://www.graze.com/uk/,"Graze is a UK based company that manufactures and daily delivers letterbox-sized parcels of healthy snacks to subscribers. A box costs $12 and contains up to 8 items. Each snack is approved by a nutriitonist. It has 2013 and signed up 100,000 subscribers across 48 states, Mar 2014. $70M turnover in 2013. Proprietary logistics solution.",Acquired,3300000,Relieving Stress,,2008,England,,,,,,
Nouri,https://mynouri.de/en/,"Drink clean. Live wild. - NOURI ist der perfekte Begleiter für Deinen Alltag. Kräutershots in drei Ausführungen FOCUS, BOOST, LUST | Ohne raffinierten Zucker | Ohne Alkohol | Vegan | - Jetzt Bestellen! Schnelle Lieferung. Ab 8,90€ - kostenloser Versand ab 30,00€",Undisclosed,,Energizing,,,Germany,,,,,,
Ascents,https://www.shopascents.com/,"Established in 2010, Aeroscena is the corporate research and development organization behind Ascents®, the leading brand of aromatherapeutic phyto-inhalants™.Aeroscena has developed the first scientifically-recognized platform for essential oils R&D. Ascents-branded clinical aromatherapy formulas are the only aromatherapy products that are recommended by doctors, used by hospitals®.",Undisclosed,,Improving Sleep,,2010,USA,,,,,,
Therabox,https://www.mytherabox.com/,"A monthly therapy-in-a-box curated by therapists to boost your happiness using activities + products inspired by research in neuroscience, psychology, health and wellness!",Undisclosed,,Relieving Stress,,2017,USA,,,,,,
Feeling Fab Box,https://www.feelingfabbox.com/,Feeling Fab Box is an online subscription platform offering skincare and wellness tools for women. It is a monthly subscription-based where it contains skincare products of organic brands. It also contains a self-care guide.,Unfunded,,Relieving Stress,,2016,USA,,,,,,
FabFitFun,https://fabfitfun.com/get-the-box/?step=getbox&#plan=fffvip,"FabFitFun is a healthy woman’s lifestyle subscription box company. The company started as an online magazine. A box of products is shipped every three months for $49.99. The box features a mix of beauty, fashion, fitness, wellness and home products.",Unfunded,,Relieving Stress,,2010,USA,,,,,,
Nourished,https://get-nourished.com/,"Nourished ambition is to change the way the world thinks, buys and experiences nutrition—it’s why our custom stacks are the result of over 100,000 lab hours, collaborations with industry experts and the expertise of our in-house nutritionist.All of our ingredients are sourced from high-grade vegan whole food sources and lab-tested to ensure that every Nourishment is custom, quality and made to order.",Seed,2560000,Relieving Stress,,2018,England,,,,,,
Cheero,https://cheero.net/,"Japanese-Californian startup Cheero wants to keep its audience fall into a deep sleep with its Sleepion device. It employs light, sound and aroma, including lavender, geranium and cedarwood essential oils, that are diffused throughout the night to keep you relaxed and snoozing.",Unfunded,,Improving Sleep,,2013,Japan,,,,,,
Rythm,https://dreem.com/en,"Rythm’s flagship product is a headband built to boost quality sleep time. It is designed to help you fall asleep faster, sleep better and make up more easily using sensors embedded in the forehead that emits “pink noise” notes when you’re in REM, deep sleep.",Seed,7900000,Improving Sleep,,2014,France,,,,,,
NeuroSpace,https://www.neurospace.jp/,"NeuroSpace provides corporate sleep improvement program to support enterprise health management. The company has developed a sleep evaluation device and analytical algorithms to analyze the sleeping pattern of employees. It features sleep workshop, questionnaire system for knowing the current state of sleep, medical assistance, etc.",Seed,890000,Improving Sleep,,2013,Japan,,,,,,
Calm Radio,https://calmradio.com/en/,"Calm Radio is a music streaming platform which offers calming music to increase productivity and calmness. It includes a wide range of collection for classical and relaxation music for work and sleep, online jazz music with nature sounds, meditation, and world music. ",Undisclosed,,Relieving Stress,Meditation 2.0,2009,Canada,,,,,,
Withings,https://www.withings.com/us/en/,"Withings provides solutions for health monitoring, sleep monitoring, activity monitoring and home environment monitoring.",Acquired,33800000,Improving Sleep,,2008,France,,,,,,
Big Health,https://www.bighealth.com/,"Big Health is a healthcare company that delivers personalized behavioral medicine via web and mobile. Its flagship product Sleepio is a digital sleep improvement program, available via web and iOS, clinically proven to help users overcome poor sleep. Its virtual sleep expert ""The Prof"" teaches users proven Cognitive Behavioral Therapy (CBT) techniques, personalized to their problems and monitors their progress. Sleepio has been validated in the world’s first placebo-controlled RCT for a digital sleep intervention.",Series B,15300000,Improving Sleep,Sleep Tech,2010,England,,,,,,
Dacadoo,https://www.dacadoo.com/,"Dacadoo develops and operates an online, mobile health solution that enables individuals to track their health and well-being in the form of health score. Using gamification, group dynamics and personalized feedback, it motivates its users to adopt a healthier lifestyle. It tracks the user’s exercise, nutrition, stress, sleep, and mental well-being. Allows integration with a number of health tracking devices. Available on iOS or Android apps, for employers to offer to their employees. Individuals can use the program independent of their employers for $4.99 per month.",Series C,71100000,Improving Sleep,,2010,Switzerland,,,,,,
Ellcie Healthy,https://ellcie-healthy.com/,"Ellcie Healthy develops smart connected glasses (built over normal correcting lenses) for health and fitness applications. The glasses are embedded with detectors (such as UV, infrared, accelerometer, and gyroscope) to identify the early signs of falling asleep such as the acceleration of the movement of the eyelids, widening of the eyes, yawning or micro-sleeping. Additionally, it features temperature and humidity sensors for detecting atmospheres that promote drowsiness. These data are continually analyzed by a companion artificial intelligence based application for warning the user. The company claims that the algorithms continually learns the users' behavior to improve its diagnostic accuracy. As of June 2018, the product is expected to be priced at $ 245. Partners include Paris University Hospital, Key Infuser, EDISER, BPI France, III Financements, F.Iniciativas, La French Fab, Ville de Nice, Region PACA, etc. Clientele includes The Generali Group, Optic 2000, and Valeo.",Series A,3020000,Improving Sleep,,2016,France,,,,,,
Learning To Sleep,https://www.learningtosleep.se/,Learning To Sleep offers a mobile-based 5-week sleep program which can be completed by the patient alone or in consultation with a therapist. The company's program is an evidence-based Cognitive Behaviour Therapy (CBT) intended to change the behaviour of people. The company claims that studies revealed that 9 out of 10 can overcome sleep problems using the company's program. The company has collaboration with Pfizer for research related to sleep problems. The company is part of Plug and Play accelerator program.,Seed,1500000,Improving Sleep,,2010,Sweden,,,,,,
Guangdong Appscomm,http://www.appscomm.cn/cn/?language=cn,"Guangdong Appscomm manufactures smartwatches and trackers. Its products include activity tracker, GPS tracker, hybrid watch, and phone dependent smartwatches. Its commercial products include watches with built-in mobile and GPS functionality, call/SMS notifications, anti-lost alert, social reminder, sleep monitoring, goals management, and activity reports, while its sports watches have built-in fitness tracking. It sells its products under the brand name Lemovt and Lecomm. The products work in integration with a smartphone application compatible with both Android and iOS. It also offers watches running on Android and has a hardware based on Qualcomm's Toq platform.",Acquired,9000000,Improving Sleep,,2011,China,,,,,,
Dozee,https://www.dozee.io/,"Dozee is a sleep tracking mattress which contains sensors to measure and record ambient conditions and recommends improvements such as the lighting, temperature and humidity to improve quality of sleep. Claims that the device is being benchmarked against the gold standard Polysomnography (PSG).",Seed,252000,Improving Sleep,Personalised sleep remedies,2015,India,,,,,,
Moona,https://en.getmoona.com/,Moona is a smart device for managing the temperature of the pillow to improve sleep quality. The device is a thermo-regulated pad which monitors and regulates the pillow temperature based on the sleep patterns. The app receives data and to provide personalized recommendations.,Seed,750000,Improving Sleep,,2016,France,,,,,,
Aura,https://auraband.io/,"Aura Band is a wearable fitness tracker that allows the user to track daily fitness activities like steps taken, calories burned and sleep quality. The device uses a bioimpedance technology to analyze body composition and hydration levels. The company claims to use BigData and ML for finding insights from the data collected. The device is yet to be launched.",Seed,105000,Improving Sleep,,2016,Russia,,,,,,
SnoreLab,https://www.snorelab.com/,"SnoreLabs is a mobile application that records user's snoring and gives them the feedback. The app records, measures, and tracks users' snoring and helps them to discover effective ways to reduce it. The user is supposed to set SnoreLab running whilst they sleep to record snoring and to measure their Snore Score. The app measures snoring intensity (Snore Score), records sound samples, tests the effectiveness of snoring remedies, and tracks the impact of lifestyle factors.",Unfunded,,Improving Sleep,,2012,England,,,,,,
8HSleep,http://www.8hsleep.com/,8HSleep is a private label mattress developer. It is focused on science of sleep and aims to develop bedding related products to help improve sleeping pattern of the users. It has raised Series A round of funding from JD.com and Shunwei.,Series A,1500000,Improving Sleep,Luxury sleep,2015,China,,,,,,
Kokoon Technology,https://kokoon.io/,"Kokoon Technology provides Kokoon headphone which is a headset that uses EEG technology to actively help users achieve better sleep. The headphone offers many sleep-aid techniques, and also able to take calls from pre-selected contacts. Equipped with hidden EEG sensors, Kokoon monitors the electronic impulses in the wearer’s brain, trying to determine the exact moment of sleep, the different phases of sleep and the perfect point in the natural sleep cycle to awaken. Kokoon app allows users to set intelligent alarms for power naps, recovery naps, or a full night’s sleep and gives analysis about sleep patterns. It has raised about $2M for a goal of $100K on Kickstarter. The Kokoon application is available in the Android and Apple app store. The Bluetooth 4.0 Kokoon headphones can be purchased from its website.",Series A,4240000,Improving Sleep,,2013,England,,,,,,
Shleep,https://www.shleep.com/,"Shleep provides employee wellness solution by offering workshops, assessments, coaching, and scalable sleep coaching app to which helps the workforce to sleep better. It enables the employees to take a sleep diagnostic to assess how well they sleep and what they should focus on and provides an in-person or webinar session about the science of sleep. Clientele includes Spotify, Nivea, and Deloitte.",Seed,1550000,Improving Sleep,,2011,Netherlands,,,,,,
Dayzz,https://dayzz.com/,"Dayzz is an app offering sleep training plans for improving sleep. The app tracks the daily habits, sleep schedules, and lifestyle of the user from wearable devices to analyze and provide personalized sleep improvement programs. The app creates programs based on the type of sleep disorder using algorithms and modifies the programs based on the progress. The app tracks the sleep data to analyze the progress and provide real-time reports, statistics, and insights. The app also offers reminders, tips and customized challenges for sleep management.",Funded,1000000,Improving Sleep,Personalised sleep remedies,2017,Israel,,,,,,
Sleep.ai,https://sleep.ai/,Sleep.ai has developed an anti-snore wearable solution. The solution consists of a wearable device and a companion app. The app continuously monitors the snoring sounds and sends the signal to the wearable device as soon as the snoring starts. The device vibrates on receiving the signal from the app making the snorer adjust their sleeping position. The app gives insights about users sleep and snoring patterns. The app uses a deep learning to learn about user sleep and snoring patterns. Trying to raise money on Kickstarter. The company is a member of Startup +Health.,Unfunded,,Improving Sleep,,2016,Netherlands,,,,,,
Widemed,http://widemed.com/index.php/en/,"WideMed is the developer of web-based, automated sleep scoring solutions to the sleep clinical market. It has developed an FDA-cleared computer-aided sleep scoring solution called Morpheus which encompasses a workflow solution, cloud computing operation and embedded clinical database. Its products include devices for sleep diagnostics in Home as well as the Hospital environment such as Morpheus (FDA Cleared- K111314), an automated sleep testing management; Morpheus Hx, a hospital sleep study system & Morpheus Ox, a home sleep study system.",IPO,5000000,Improving Sleep,,2000,Israel,,,,,,
Circadia,https://circadia.health/,"Circadia offers sleep system to track, diagnose and treat sleep problems. The device is placed at the bed-side and tracks the sleep patterns such as snoring and disturbances for two individuals. The device is connected to a mobile app which analyses the sleep patterns. The device has a LED lamp which is used to boost energy. The device uses algorithms to track the body clock and syncs the body time to social time. The other features are an alarm and also user can set wake up or relaxing tunes. The device won the startup of the year 2017 award by Wearable.",Seed,250000,Improving Sleep,,2016,England,,,,,,
Bong,http://www.bong.cn/,"Bong is a hardware and software tool which provides a wearable health bracelet brands, using which the users can record their entire day, such as movement, sleep through built-in sensor. It has three products, two wearable solutions - XX and X2 and one smart home based solution Bong+. Claims to have raised funding of $157.3k in December 2013, from Hangzhou PCCW investment Incapital.",Series A,4900000,Improving Sleep,,2013,China,,,,,,
Zyken-NightCove,http://www.zyken.com/,"Zyken is a growing company developing innovative premium wellness products for hotel guestrooms, spas and homes. Zyken products deliver a unique combination of scientific research, cutting-edge technology and exclusive design. Zyken products allow hotel and spa operators to provide guests with an exceptional sensory experience conducive to wellness and restful sleep. NightCove by Zyken is an innovative wellness, sleep and wake-up device developed in partnership with Paris-based designer Patrick Jouin, and Professor Damien Leger, a scientific expert with a worldwide reputation in the field of sleep research. NightCove combines scientifically-validated high-powered LED technologies with advanced acoustics to provide hotel guests with a high quality ‘wellness and sleep experience’. Since launch, NightCove has been deployed by more than forty luxury hotels including Four Seasons Paris, Plaza Athénée Paris, W Hotel Koh Samui, Trianon Palace Versailles, Riverton Göteborg, Westin Paris",Acquired,3000000,Improving Sleep,,2005,France,,,,,,
Nox Medical,https://noxmedical.com/,"Nox Medical provides solutions for sleep monitoring and diagnosis. Its offerings are the Nox A1 PSG (a portable polysomnography system); Nox T3 (portable respiratory sleep monitor) FDA 510(k) cleared (K082113); Noxturnal software (support software for NOX recording system); Sensors Accessories- FDA cleared (K124062); and System extensions- FDA 510(k) cleared ( K151361). The company distributes its products worldwide and has maximum distribution sites in European countries; some of the distributors are ResMed, Biotronics, CareFusion, etc.",Unfunded,,Improving Sleep,,,Iceland,,,,,,
Ammique,https://www.ammique.com/,"Ammique is a brand of bed products. The company develops handcrafted mattress-less sleep system which uses its patented technology. Some of its features include automatic temperature control, customised audio-visual products, modular design and more.",Seed,1200000,Improving Sleep,Sleep Tech,2003,England,,,,,,
Susmed,https://www.susmed.co.jp/,"Susmed, short for “Sustainable Medicine” takes user data, puts it through an algorithm, and then provides advice for fixing patients insomnia. Their app The yawn is available for iPhone users. It is currently in clinical trials in cooperation with Harumi Hospital affiliated with the National Institute for Neurological Research and Yumikai Kikami Hospital, a social medical corporation from September 2016.",Seed,880000,Improving Sleep,,2015,Japan,,,,,,
Loop Ray,https://www.loopray.net/,"Loop Ray is a developer of the mobile solution for helping users to be mindfulness and reduce stress and anxiety. The company's flagship products, Lusity, is a customization sleep and relaxation aid app with nature sound effects and white noises. The sound stops automatically once the user sleeps. Can also be used for relaxation, yoga, meditation, concentrate, and study.",Unfunded,,Improving Sleep,,2011,Bulgaria,,,,,,
Ocumove,https://ocumove.com/,"Ocumove produces a sleep tracking device, the DepTracker, which analyses sleep the wearer's sleep patterns at home. The resulting data can be used to diagnose and manage the treatment of patients suffering from psychiatric illnesses. The strong linkage between sleep pattern alterations and psychiatric illnesses, especially depression is well described in medical literature. The device has CE Mark and as of May 2016, the company plans its commercial release within 2016.",Unfunded,,Improving Sleep,,2012,Denmark,,,,,,
Oventus,https://o2vent.com/,"Oventus Medical is involved in developing medical devices for sleep disorders. They have developed O2Vent, a wearable device which is used for treating sleep apnea.",Unfunded,,Improving Sleep,,2011,Australia,,,,,,
Sleeprate,https://www.sleeprate.com/,"Sleeprate is a mobile health app that monitors sleep and works with any Bluetooth-enabled heart rate tracking device. Monitors and analyzes sleep quality & quantity of user's sleeping, sleep cycle and point outs sleeping problem. Also provides a custom-tailored therapy program to improve user's sleep and check for compliance.",Unfunded,,Improving Sleep,,2006,Israel,,,,,,
Night Train,https://ntrain.io/,Night Train provides an application for sleep cycle monitoring and analysis. The app needs to be integrated into a device with a skin temperature sensor. It measures the distal skin temperature which is an indicator of melatonin production in the human body. The temperature data is used to provide information on circadian rhythm.,Unfunded,,Improving Sleep,Personalised sleep remedies,2016,Finland,,,,,,
SleepFit,https://sleepfit.io/,SleepFit is an online platform offering sleep management solution. The user can provide digital sleep solutions to improve employees performance. The platform also provides sleep management solutions for parents.,Unfunded,,Improving Sleep,,2016,Australia,,,,,,
Juvolabs,https://www.juvolabs.com/,"Juvo is a sensor mat that slipped under the mattress and can detect movement, breathing, and heart rate during sleep. It is connected to a wifi-enabled communicator unit placed next to the bed sends out sleep data to a cloud-based analytics engine. It then interprets this data and gives personalized advice on how to improve sleep through Juvo's app. Initially started with Juvo Junior (baby breathing and sleep monitoring), it has now expanded to offer products Juvo Adults and Juvo Senior Care. Juvo’s mat uses fiber-optic microbending sensors, which is sensitive enough to pick up breathing and heart beat through almost mattress. The company has distributing partners to reach out to consumers in the US and Europe as well as various countries in ASEAN, including the Philippines and Indonesia.",Funded,50000,Improving Sleep,,2014,Singapore,,,,,,
Dreamlight,http://www.dreamlight.tech/,"Dreamlight is a producer and supplier of sleeping solutions. It offers smart sleep masks embedded in light technology. The company claims that its product combines lights, sound, & sleep tracking, and reduces stress & offers insight into users' sleep habits.",Undisclosed,,Improving Sleep,Personalised sleep remedies,2017,China,,,,,,
Frasen,http://www.frasen.com/,"Frasen has developed a sleep monitoring device, Lulleep, that collects bio-signals along with brain waves and sends it to the mobile phone. It has developed an app that analyzes the data and gives solutions to improve sleep based on the user's sleeping patterns. Binaural beats are played using bone conduction speakers to help user getting better sleep. The data collected by the device is stored in Frasen's cloud servers. It also has a smart alarm that wakes up the user with LED lights at an optimized time that it calculates by considering alarm time and sleep stage.",Undisclosed,,Improving Sleep,,2010,South Korea,,,,,,
Fiji Kava,https://fijikava.com/,Fiji Kava provides a natural dietary supplement. The supplement contains extracts of Kava roots having Kavalactones from the Piper Methysticum plant. The supplement is meant for reducing stress.,Unfunded,,Creating Euphoria,,2013,Australia,,,,,,
HealthKart,https://www.healthkart.com/,"HealthKart is an online store for health, sport, and nutritional supplements. It offers product under categories such as vitamin and supplements, Ayurveda and herbs, health food and drive, fitness, wellness, and sports nutrition. Also gives the list of trending products in each category and provides consultation with nutritionists.",Series G,89200000,Energizing,Energy consumables,2011,India,,,,,,
ProGood,https://progood.com.au/,Progood is engaged in manufacturing synbiotics (combination of probiotics and prebiotics). The company has only one product as of now which it sells in a variety of packages. The company is looking to expand to new markets in the near future via partnership with retail chains,Unfunded,,Energizing,,2013,Australia,,,,,,
Yofix,https://www.yofix.co.il/,"Yofix develops and manufactures non-diary and non-soy probiotic foods. It has developed a dairy free products based from blends of cereals, nuts, and seeds. It manufactures 3 bio-vegetable products from plant-based ingredients, such as grains, legumes, and seeds which are fermented in a process similar to that used in traditional yogurt. It is also in plans to develop a new generation of healthy, environment-friendly foods. The company has completed a seed investment round in August 2015 by TheKitchen Food Tech Hub.",Series A,2500000,Energizing,,2015,Israel,,,,,,
Perkii,https://www.perkii.com/,"PERKii is a probiotic drink made by the company ProGel. The drink contains only 26 calories per serving and 1 billion live probiotics. The drink is sold in three flavors which include Lime and Coconut, Raspberry and Pomegranate, and Elderflower and Green Tea. The company claims that the drink helps in digestion and immunity. As of June, 2016, the drink is sold in a number of Queensland based cafes, IGA supermarkets and gyms",Series A,7000000,Energizing,,2015,Australia,,,,,,
Hi Tech BioSciences India,http://www.htblindia.com/,"Hi Tech Biosciences India manufactures probiotics & nutraceutical products. They manufacture probiotics for human, animal, poultry, and aquaculture use. SynerPro Probiotic Strains is a strain which is isolated and studied for their probiotic characteristics. They develop probiotic formulas in a variety of dosage forms including lozenges and chewable, as well as tablets, capsules, and powders.",Undisclosed,,Energizing,,2007,India,,,,,,
Brio Bliss Life Science,https://briobliss.com/bb/,"Brio Bliss Life Science offers formulations of Phytochemicals, Probiotics and Neutraceuticals. The core therapeutic areas of focus include Gynecology and pediatrics",Acquired,2490000,Energizing,,2012,India,,,,,,
Craft & Culture,https://www.craftculturesg.com/,"Craft and Culture is a multi-category food and beverages company. Their products include kombucha, milk kefir, water kefir and more. Also sells probiotic skin care products and pet products. The company sells their products online. The company sells the majority of products in Singapore.",Unfunded,,Energizing,Healthy energy drinks,2016,Singapore,,,,,,
PREPD,https://prepdhydration.com.au/,PREPD is a healthcare and nutrition brand. Their products include energy drink for hydration. ,Seed,1500000,Energizing,,2017,Australia,,,,,,
Refreshh,http://refreshhh.co.za/,Refreshhh is a carbonated soft drink brand.  Also offers energy drinks and water. ,Undisclosed,,Energizing,,2006,South Africa,,,,,,
chopnownow,https://www.chopnownow.com/,Chopnownow is an internet-first restaurant offering Nigerian cuisine and alcoholic beverages delivery. Users can order energy drink and high-protein containing food dishes. ,Unfunded,,Energizing,Healthy energy drinks,2017,Nigeria,,,,,,
MoFaya Beverage Company,https://www.mofayaenergy.com/,"MoFaya Beverage Company is engaged in manufacturing and marketing branded energy drink and sports drink products. The company has a portfolio of 3 products which include Mofaya energy drink, Mofaya sports drink and Mofaya carb 0 (optimal rehydration). ",Unfunded,,Energizing,,2014,South Africa,,,,,,
Barajii,https://www.barajii.com/,"Barajii produces and markets food and beverage products. The company's product offerings include natural water, energy drinks, natural juices, snacks, etc. ",Unfunded,,Energizing,,2003,Burkina Faso,,,,,,
Titan,https://titandrinks.com/,"Titan provides energy drinks. Their energy drinks contain taurine, caffeine, water, sugar, caramel, vitamins, and minerals. The drinks are available in natural, mojito and cranberry flavors.",Unfunded,,Energizing,,2016,United Arab Emirates,,,,,,
BigBoss,https://bigbossbeverages.com/,BigBoss is an energy drink brand. Their products include energy drink. The company claims that their products are all natural and nutritious. ,Unfunded,,Energizing,,2015,United Arab Emirates,,,,,,
REIZE Energy Drinks,https://www.reizeclub.com/,"REIZE Energy Drinks is an online subscription platform for energy drink powder. The company claims that the drinks are formulated which help to increase focus, stamina, and performance & also have essential B-group vitamins.",Unfunded,,Energizing,,2012,Australia,,,,,,
Stream Drinks,https://streamdrinks.com/,"Streamdrinks is engaged in manufacturing and marketing health drinks that harness the power of natural plant extracts, vitamins, and nutritional additives. The Stream range includes Stream – Energize, Stream – Femme, Stream – Focus, Stream – Hydrate, Stream - Vitality, and Stream – Kids",Undisclosed,,Energizing,,2010,South Africa,,,,,,
Back to Basics Nutrition,https://backtobasics-nutrition.co.za/,"Back to Basics Nutrition is engaged in manufacturing and marketing a meal replacement shake and an energy drink powder. The company claims that its products are gluten-free, high in fibre, high in protein, and high in vitamin c. As of Jan 2018, the company sells its products online.",Unfunded,,Energizing,Alternate Energy,2015,South Africa,,,,,,
Fit4Style,http://fit4.style/,"Fit4Style provides dietary supplements. Their supplements include protein shake mixes and carbohydrate and minerals based energy drink sprays. Their supplements are meant for weight management and maintaining overall wellness.",Unfunded,,Energizing,Day-to-day energy management,2017,Israel,,,,,,
Mamba Energy Drink,https://drinkmamba.com/,"Mamba Energy Drink is a branded energy drink product targeted at the African market. The company claims that the product tastes sweet without the sharp medicinal after taste of other energy drinks. The product is loaded with amino acids, citric acids and vitamins. The company sells its products through partnering with retailers and distributors.",Unfunded,,Energizing,,2013,Nigeria,,,,,,
Wolf Energy Bar,https://www.wolfenergyhq.com/,"WOLF Energy is engaged in maufacturing and marketing of healthcare & nutrition. Their products include energy bars, energy drinks, energy pills and more. The company sells its products online.",Unfunded,,Energizing,Energy consumables,2017,New Zealand,,,,,,
Pink,https://www.pinkenergy.com.au/,"Pink provides energy providing drinks. The beverage contains taurine, ginseng, antioxidants, essential B vitamins, and minerals. The drink helps in providing energy, building muscle, and increasing metabolism.",Unfunded,,Energizing,,2010,Australia,,,,,,
Fu Dong Hai,https://fudonghai.world.tmall.com/shop/view_shop.htm?spm=a230r.1.14.28.16283238IUu0ug&user_number_id=1044190178,Fu Dong Hai is a company that provides health drinks and health and wellness supplements using traditional Chinese medicine / herbs as ingredients. Their products have a wide range of functionalities including improving sleep.,Unfunded,,Energizing,,2013,China,,,,,,
UMTEA,http://www.umtea.com,UMTEA is a tea maker which uses natural plants and fruits as their ingredients.,Unfunded,,Improving Sleep,,2012,China,,,,,,
Gaubau,http://www.gaubau.com,Altay Gaubau is a company that focuses on Apocynum venetum and it produces tea products that help with sleeping and blood pressure.,Unfunded,,Improving Sleep,,2006,China,,,,,,
Bai Cao Ling,https://baicaoling.tmall.com,Bai Cao Ling sells health and wellness products that use traditional Chinese medicine as ingredients.,Unfunded,,Improving Sleep,,2015,China,,,,,,
Zaichuntang,https://zaichuntang.tmall.com,Zaichuntang is a company that produces various health supplements using Chinese medicines and herbs,Unfunded,,Energizing,Day-to-day energy management,2008,China,,,,,,
Gunna Drinks,https://gunnadrinks.com,Gunna Drinks is a soft drink company intended to sell naturally made soft drinks.,Seed,1960000,Energizing,,2016,England,,,,,,
Nix and Kix,https://nixandkix.com,Nix and Kix is a producer of natural soft drinks intended to offer a healthy alternative to prevalent artificial soft drinks.,Seed,2000000,Energizing,,2014,England,,,,,,
Little Miracles,https://drinklittlemiracles.com,"Little Miracles produces drinks that use Chinese ginseng and acai, organic tea and fruits as ingredients.",Undisclosed,,Energizing,,2012,Denmark,,,,,,
Matcha Works,https://www.matchaworks.co.uk,Matcha Works is a company that produces matcha drinks and powder.,Undisclosed,,Energizing,,2016,England,,,,,,
Matcha Maiden,https://www.matchamaiden.com,Matcha Maiden is an online retail business start-up that offers pure Japanese organic matcha green tea powder & related products.,Undisclosed,,Energizing,,2014,Australia,,,,,,
Bluebird Tea,https://birdandblendtea.com/,"Bird & Blend Tea Co. is an independent, award-winning, tea company on a mission to spread happiness & reimagine tea.",Seed,476000,Energizing,,2013,England,,,,,,
NutraChamps,https://www.nutrachamps.com,"NutraChamps aims to create premium nutritional products with uncompromised quality through using the best safe, natural, and proven ingredients and methods available.",Undisclosed,,Energizing,Alternate Energy,2016,Canada,,,,,,
Root of Happiness Kava,https://rootofhappinesskava.com/,"FDA registered direct importer from kava farms in Vanuatu, Fiji, Hawaii, Samoa, Tonga and the Solomons. Creates powderised forms of kava.",Undisclosed,,Creating Euphoria,,2013,USA,,,,,,
YesYesYes,https://www.yesyesyes.org/,Online shop that sells organic lubricants for sex,Undisclosed,,Creating Euphoria,,2016,USA,,,,,,
Mystery Vibe,https://world.mysteryvibe.com/pages/about-us,Research and invent the latest in sexual technology,Seed,561000,Creating Euphoria,,2014,England,,,,,,
Lovability,https://lovabilityinc.com/,Make products for happier and healthier sex.,Acquired,,Creating Euphoria,,2014,USA,,,,,,
